Zip Code,2018-02-28,2018-01-31,2017-12-31,2017-11-30,2017-10-31,2017-09-30,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-30,2017-03-31,2017-02-28,2017-01-31,2016-12-31,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-31,2016-06-30,2016-05-31,2016-04-30,2016-03-31,2016-02-29,2016-01-31,2015-12-31,2015-11-30,2015-10-31,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-31,2015-04-30,2015-03-31,2015-02-28,2015-01-31,2014-12-31,2014-11-30,2014-10-31,2014-09-30,2014-08-31,2014-07-31,2014-06-30,2014-05-31,2014-04-30,2014-03-31,2014-02-28,2014-01-31,2013-12-31,2013-11-30,2013-10-31,2013-09-30,2013-08-31,2013-07-31,2013-06-30,2013-05-31,2013-04-30,2013-03-31,2013-02-28,2013-01-31,2012-12-31,2012-11-30,2012-10-31,2012-09-30,2012-08-31,2012-07-31,2012-06-30,2012-05-31,2012-04-30,2012-03-31,2012-02-29,2012-01-31,2011-12-31,2011-11-30,2011-10-31,2011-09-30,2011-08-31,2011-07-31,2011-06-30,2011-05-31,2011-04-30,2011-03-31,2011-02-28,2011-01-31,2010-12-31,2010-11-30,2010-10-31,2010-09-30,2010-08-31,2010-07-31,2010-06-30,2010-05-31,2010-04-30,2010-03-31,2010-02-28,2010-01-31,2009-12-31,2009-11-30,2009-10-31,2009-09-30,2009-08-31,2009-07-31,2009-06-30,2009-05-31,2009-04-30,2009-03-31,2009-02-28,2009-01-31,2008-12-31,2008-11-30,2008-10-31,2008-09-30,2008-08-31,2008-07-31,2008-06-30,2008-05-31,2008-04-30,2008-03-31,2008-02-29,2008-01-31,2007-12-31,2007-11-30,2007-10-31,2007-09-30,2007-08-31,2007-07-31,2007-06-30,2007-05-31,2007-04-30,2007-03-31,2007-02-28,2007-01-31,2006-12-31,2006-11-30,2006-10-31,2006-09-30,2006-08-31,2006-07-31,2006-06-30,2006-05-31,2006-04-30,2006-03-31,2006-02-28,2006-01-31,2005-12-31,2005-11-30,2005-10-31,2005-09-30,2005-08-31,2005-07-31,2005-06-30,2005-05-31,2005-04-30,2005-03-31,2005-02-28,2005-01-31,2004-12-31,2004-11-30,2004-10-31,2004-09-30,2004-08-31,2004-07-31,2004-06-30,2004-05-31,2004-04-30,2004-03-31,2004-02-29,2004-01-31,2003-12-31,2003-11-30,2003-10-31,2003-09-30,2003-08-31,2003-07-31,2003-06-30,2003-05-31,2003-04-30,2003-03-31,2003-02-28,2003-01-31
60622,279100,278200,278100,278600,279500,279900,278100,276400,277700,279200,278800,277800,277600,276200,274100,270800,267300,265100,265000,264600,263000,260000,257900,255900,254800,253700,252300,250100,248800,248000,247500,246800,245700,244200,242400,241900,243400,245500,246100,244700,243100,241600,240200,239200,238700,238300,238500,237700,235400,233800,233200,231900,230900,230400,228300,224000,219600,216400,214200,212400,209800,207300,205100,203200,201300,201800,202600,201700,200500,201300,201200,200100,200200,202400,205300,209300,212500,214200,214400,215100,216200,218900,222200,224600,225400,225000,224500,225200,226900,227600,229200,231900,234300,234200,232300,232500,234400,236200,237700,239900,241000,240700,241100,243600,246300,248000,250300,252400,254200,255500,256800,257500,258600,260400,261900,262800,264200,265000,266000,267800,269600,270700,271600,272000,271200,270300,269300,268600,267500,266500,266800,267900,266800,264500,264400,265200,266600,268200,270700,271600,271500,273100,274400,273800,274000,274700,271800,267800,264300,263200,262800,262800,262100,260600,258300,255800,252600,250200,249100,248200,246400,243500,241400,241600,243600,244600,242300,240000,240100,239400,237100,236800,238200,238400,237800,236700,233400,229000,225000,221600,219600,219600
60640,143000,142600,143000,144500,146500,147300,147400,147700,148600,149200,149200,148600,147600,146300,145000,143800,143200,142600,142800,140800,137100,133700,131900,130500,129600,128000,126500,125800,126000,126100,126400,127600,129700,130700,129200,128100,129500,131500,132000,131300,130400,130000,129900,130100,130100,129300,128900,129000,128300,126900,125600,123800,121500,118200,114500,111600,109700,108900,108100,107600,105600,104000,102600,101100,99300,99000,99800,100700,100300,99300,98700,98500,99600,100800,101500,103500,106700,109800,112100,112700,113300,115000,116900,118500,120500,122500,124200,126800,130500,134100,136700,138600,139500,140600,142400,143700,143300,144900,148800,150500,149400,148200,148200,149400,151400,153800,156200,158200,160000,161200,162300,163800,165800,167500,169700,172000,174200,176300,178500,180300,182100,183300,183100,182400,181700,181100,179800,179900,181500,182200,180800,180100,180100,179700,179200,178500,178000,178100,178600,178100,177200,176000,175300,175100,174700,172800,170800,170000,169900,169300,168600,168500,168200,167600,166900,166300,166300,167000,167900,168200,167700,166500,165300,163800,162700,162600,163100,162800,162400,163000,164000,164300,164300,164600,164700,164600,164300,163400,162000,160800,159300,157500
60611,268000,268000,268700,270600,272200,273000,273000,271900,271000,272400,274800,275900,275000,271700,267100,263200,262300,263000,262900,260900,260100,259900,259300,258700,258800,257600,255500,255000,256600,259000,261800,264700,266700,267300,265900,262200,258800,257200,256300,255400,254300,253500,253300,253600,253400,253500,253200,253000,252600,251000,247700,245400,243600,242100,240600,238000,233500,229100,225300,223200,222200,220900,219600,217900,215200,212300,210100,208000,207000,206300,205500,204100,203200,202400,202500,202100,203400,205100,206400,207000,208000,208800,211200,214100,217000,218100,217300,217100,219000,219300,219500,221100,222300,221600,220300,220800,221700,231400,247200,257500,257900,259600,261100,263000,265200,268400,271600,274300,277300,278500,278200,278700,281100,284400,287600,291500,296400,299600,300700,300900,299200,293800,288100,286100,285400,284000,283600,283000,281100,281700,284700,287600,288700,287600,285800,284900,286100,287000,285700,283000,281100,280000,279300,280000,280800,280800,280300,279900,277400,273700,271500,269800,268500,268700,267900,264900,262000,258600,254400,251500,250600,249000,247200,247200,249600,250500,248600,245800,244800,244100,242700,242600,244000,246000,247000,246000,241200,236400,233600,232000,230600,230300
60631,130200,129700,129500,129800,129000,127400,127400,128300,128300,127600,127600,127900,126800,125300,123800,123000,122900,123400,122800,123200,124300,124100,121400,119600,118200,117300,115800,115000,115100,114100,112600,112300,113600,113200,112200,110500,110000,111300,113300,113200,111600,109900,108700,107800,106700,106800,106900,106500,106600,107100,107200,106800,105900,103500,98600,94300,94400,95200,94800,92600,91000,92600,96900,98700,97600,98200,102000,105600,104800,102600,102000,104200,106000,107400,109100,111200,112800,115800,117300,116800,117600,120900,124600,126700,127300,127400,126900,126900,128700,131300,133700,135700,137200,137700,137800,138900,142000,139000,131800,129100,132000,133100,133600,133400,133600,135300,138000,140500,142400,145100,148800,152200,154000,155800,158200,160500,162200,163500,165200,166400,167900,170500,173800,176300,178000,178100,178400,180200,182000,181200,180700,180400,178300,175800,174600,173800,172900,172600,173100,174600,176800,178900,179200,178800,178600,178400,177200,174600,171500,170200,169700,169500,170600,171700,171300,170900,171200,171100,170600,170100,168400,165700,163200,161000,158500,156900,155900,154800,154000,154900,156200,157100,158200,159900,159300,156600,151200,145900,142800,142000,140800,140100
60657,220600,219100,218000,218400,219200,218500,217000,216100,216000,216800,217300,216300,215000,214000,213000,211300,209900,209400,210100,210200,209700,209000,208000,206400,205300,204300,203500,202600,201400,199700,198800,198900,199200,199000,198400,197000,196100,196600,197900,198200,198200,198500,197700,196800,196100,194300,191800,190500,189400,188700,187900,186000,184000,183000,182400,181600,179400,176300,173800,171900,169200,167900,167100,166400,166400,167300,168100,168800,169200,169000,169200,169900,171700,173000,174400,176700,177900,178100,178900,179600,180000,182000,184000,185900,187500,188300,188500,189900,191600,193500,195100,196600,197300,197700,198100,199300,201400,203700,204700,204200,204100,204000,203400,203200,204600,207300,210200,212000,213100,214200,215500,216900,218600,220600,223200,226400,229800,231400,232100,233100,233700,233200,232800,232200,231800,231900,231800,230500,229300,227800,226200,225200,225700,227100,229600,231500,232700,233000,232900,232600,232600,233500,234800,235200,234400,232900,231800,231500,230000,227700,225000,222300,221100,221800,222100,220800,218400,216200,214900,214100,212600,210300,208000,206700,206200,206000,205800,206000,206800,207200,207200,207800,209700,211800,213200,213400,210400,205300,201800,200600,198700,196700
60659,115400,115500,115100,115900,117000,116300,114700,112100,110900,110700,110900,110900,110500,108400,106000,103500,101200,100700,101200,102400,103800,105200,103400,101600,101900,103100,103300,103600,102700,99900,96500,94300,94200,95400,96300,95100,93200,91900,91800,91000,88900,86800,85100,82600,79000,76700,77400,78400,77600,77200,76400,76000,75900,75100,74300,74800,73900,72100,71900,72400,72000,72500,75000,77000,78800,80700,81400,81700,83300,85100,85500,85500,85800,88900,92800,93200,92900,95200,98800,102500,106500,108700,108600,108500,110400,113200,114600,115300,115800,116800,119500,123100,125900,126800,127400,129200,131600,127500,121500,121900,126600,128600,129200,128600,128700,131600,135900,139600,142800,146400,150400,154000,156900,159700,162600,165200,167500,167800,167600,168000,168000,167600,168200,168200,167000,165700,164700,163700,162600,162200,162200,162300,162800,163000,162800,163500,164800,165700,165500,165300,165400,165600,166000,167000,167300,167500,166800,164800,162900,161400,160000,159000,159600,160600,159700,157600,156100,155400,154400,153700,152200,151200,150800,151000,150800,149500,148300,147900,147300,145900,145200,144300,143000,141900,141600,140200,137000,135100,134800,133600,131700,131100
60605,246600,245900,245600,245900,245400,244400,243600,243500,243100,243300,245300,248100,248800,247300,244900,242900,240900,239000,238500,236300,232700,230600,229600,228100,227100,226000,225400,225700,226100,225900,225100,224900,225600,224200,220800,218300,217600,217700,217500,217300,217500,218200,218700,220300,221700,222100,221000,220200,219400,219200,218900,218400,216700,213400,209300,205700,201500,197200,194000,191400,189500,189300,190700,190200,188200,187000,188000,188000,187400,187100,187500,185800,184100,184100,184800,185400,187900,190200,192100,194500,196900,198300,199300,200900,203200,204200,203800,204300,206500,208200,209400,210500,212000,213400,214800,216600,218100,219100,220000,221100,220900,221000,220700,220400,221200,224100,227500,230800,233300,235600,238300,241100,243400,245800,248500,251500,253700,255200,255900,255900,255600,255500,254900,254500,254500,255700,255400,253200,251200,250700,250700,251900,253300,252700,250900,248800,247200,246400,247100,248000,248900,248300,247600,246800,244900,242300,240900,240200,239500,238100,236800,236500,236500,236300,234400,231400,228900,227300,226600,225800,224700,222000,218900,215300,213600,212800,212600,213500,215900,217200,216900,217400,217400,216700,215900,215500,213300,210000,207200,205300,203500,202800
60601,304200,305500,305800,305300,304000,301300,299600,301900,306500,309100,308900,309700,313200,313300,309000,305600,303800,302000,302700,302000,298800,297300,298800,299000,298000,296400,295500,294400,292400,291200,290400,286600,279000,273200,270300,267400,264800,265200,267600,269300,270200,269900,269100,269000,271500,274500,277500,277200,274700,272600,271500,270400,270700,270900,272000,273900,272000,266700,261800,257400,251700,246800,244600,244700,245800,246800,245900,242200,239900,238800,237600,236100,236900,237300,236000,235300,235500,235300,234000,233300,233300,235600,237700,239000,238900,240100,242000,241700,241000,243200,245200,246800,250300,253100,254100,258600,264500,270200,275600,279200,279500,279600,279800,280100,280900,283400,287800,292000,295600,297800,299200,302100,305600,308100,310500,314400,315700,313300,309600,308500,309600,309600,308700,309500,309400,306100,303600,302100,301400,302500,305300,306300,305100,303400,302900,301200,300700,302300,304600,305300,305900,305800,304100,300000,295700,294800,296300,294600,289200,284100,278800,276600,278300,280800,281000,277900,273700,267600,259200,253400,253000,253000,253700,252600,248200,243600,240100,238300,238200,237600,236600,237100,238400,239500,241000,242700,242400,238700,235200,235300,236500,236100
60614,240000,238100,236400,236400,236700,236800,237900,239300,240400,241200,242600,244500,246900,246800,244500,241600,240700,241000,242500,242800,241600,239700,238200,236300,233900,231700,230800,231200,231100,230300,229300,228500,228600,228900,227900,226000,225300,225600,225900,225700,225300,225100,225100,225400,225700,225500,225200,223600,221300,220000,219300,218700,218300,217000,215000,213100,209900,205900,203100,201500,200500,200000,199500,198300,197000,196600,196200,195000,194100,194100,193500,193000,192900,193600,195500,197900,200100,201800,201400,200100,201300,204500,207400,209800,211400,210700,208400,207900,209400,210400,211600,214900,217200,217500,216900,218200,220200,226900,234000,236300,234400,233600,233900,234300,234700,235900,238000,239200,240400,241100,241600,242400,244100,246000,248400,250700,253200,256100,259500,261800,262400,260500,258700,258300,258200,258300,258900,259400,258800,256900,254200,253800,255600,256400,256900,258500,260400,261800,262900,262300,261600,262000,262800,263000,262400,259600,256900,255700,256000,255200,254500,254400,254400,253100,251300,248800,245800,244200,243200,242000,240100,237500,234200,233100,232800,232000,232200,233700,234300,234400,234000,233700,234600,235200,233700,231500,229400,228100,227200,225600,223700,224200
60654,293900,292500,291900,292500,293300,294000,293400,290500,288500,288100,288500,288600,288300,285100,281000,277900,276000,273900,272500,272500,272600,272500,271800,271700,271700,271200,269600,268900,270000,271500,272000,272900,275800,276500,272300,266700,263500,262900,264000,264100,263300,263800,263900,263200,262200,261400,259800,257000,253800,251600,249700,247200,244700,241900,238800,234100,229100,224300,220600,219600,220800,220100,217200,215200,213400,210300,208100,206900,204700,202600,202400,201900,201500,203100,205800,207800,209400,211100,212200,212300,213000,216300,220500,222800,224300,224600,223600,223000,223900,224600,226600,230900,235000,235900,235000,235500,235800,238500,243700,247400,248600,250600,251500,251900,253200,255600,258900,261800,264300,265700,266600,267900,270000,272000,273400,275700,278300,280100,281200,281600,279900,278300,277700,278800,279800,280200,281100,280600,276000,272300,271300,272700,276000,278900,279400,278800,277800,276500,275900,275100,275400,277200,280500,282200,280900,278100,275500,271400,266000,263300,262500,261600,259900,257900,254500,252300,251200,251000,251800,254100,255600,253800,251000,251600,256500,258000,253500,247500,244300,240900,237700,235900,236100,236200,234600,232200,230700,229300,228700,229000,229400,228400
60625,145800,146000,146600,146900,146900,146800,147400,148500,149100,148200,146700,146000,146200,146300,145000,142600,139000,135600,135500,139600,142300,141500,139500,137900,136300,135100,133300,131700,130600,130900,132100,132600,132200,133600,135200,134400,134100,134500,132800,130700,129700,128800,127500,126400,126100,125000,123300,123300,124200,124000,124300,125600,126000,123700,120600,117700,114200,109500,106100,105300,105500,105200,105500,107200,109600,110900,111000,111300,112200,112600,112500,111800,111600,112600,115100,118100,122800,128800,131400,130000,130200,135100,141600,146100,146500,146800,149100,149900,146600,144400,145700,148400,150400,151600,152400,153800,155400,156400,155300,153500,153400,154500,156500,158800,160800,162700,164800,166400,167900,169400,171000,172400,173800,175300,177600,180300,183100,184600,185000,185500,186700,187200,188300,190000,191100,190000,187600,186200,185300,184600,183400,182200,181800,181700,180500,180700,182300,184200,185600,186200,186000,185900,185900,185700,186200,187100,187300,186000,183500,181000,179200,179000,179400,180000,179000,177600,176900,176800,175900,173900,172200,171800,171400,169800,168900,168700,169200,169900,169700,169100,169200,169400,169800,169000,166500,163700,160400,157500,156800,156600,154900,153400
60626,111800,112300,111500,110000,109200,109000,108900,108900,108500,107300,106200,106500,106800,105700,104000,103500,103800,103200,101500,99300,97900,97200,95800,94500,93700,93500,94700,96600,97000,96000,95100,94600,93700,93000,93200,93000,91600,91500,92200,92000,90900,89700,87200,85400,84600,83600,82800,82100,80200,78600,77900,77500,76400,75500,75200,74300,73400,72200,71100,71400,72600,72100,71500,71800,71700,71700,72200,72900,74100,77500,81000,81700,82800,87200,91000,91500,94100,99300,105200,109300,111600,111900,112400,113300,114300,114800,115300,116500,117500,118600,120400,123600,127300,128900,128600,129100,130500,129200,127100,127800,130100,130300,129900,130000,130800,132900,135700,138400,140900,143500,146100,148800,151100,153500,155300,157400,159000,159500,160100,161800,163300,164300,165700,166100,165400,164900,165000,165000,165100,165400,165800,166000,165700,165400,165700,166500,167200,167600,167800,167900,167600,168000,168300,167400,166400,166000,165800,165200,163800,161600,159600,157700,156200,156100,156700,157200,157200,155900,152900,150400,149500,149400,148800,147500,145100,142600,141600,142200,142300,142600,143600,144700,144200,142400,140600,139300,138400,137500,136300,134300,132400,131500
60661,282400,281700,281500,281800,281100,279800,279100,279300,280800,283300,284100,284000,283800,284100,282600,280500,281000,282400,282900,277200,267600,262700,263000,260400,257900,256400,254200,251900,250600,249200,248200,247600,247000,244300,240500,237900,237800,239200,240500,240800,240500,240000,239500,238900,238500,237700,236500,235000,233700,233300,233500,232400,229900,227100,224100,221300,217800,213500,209000,204800,201900,200700,200000,198200,195800,194900,194900,194500,194500,196100,197800,197800,196700,196700,197800,198900,199100,198400,198400,200800,204200,206400,206900,208600,209500,208800,208500,210400,213600,216800,219000,220900,222300,222800,224000,227400,230600,230100,227400,226900,228100,228500,228600,228800,230500,234000,237900,240600,243400,246700,250000,253100,256100,259000,262400,264800,265900,266800,268800,270500,270500,270200,270700,269200,267500,268300,268500,266300,263400,261200,258500,256300,255500,255800,256100,256800,257000,257200,257800,258700,258900,257400,255800,255800,256300,257000,257500,256600,253900,250300,247200,246500,247200,247500,247400,247900,247400,245700,244500,244800,245400,244600,243000,241500,240900,242600,242900,239800,237100,236100,234500,232200,229300,226200,224000,222600,220900,218900,217500,216300,215400,215100
